    ,DE,HI,PR,TX,MA,MD,IA,ME,ID,MI,UT,MN,MO,IL,IN,MS,MT,AK,AL,VA,AR,NC,ND,NE,RI,AZ,NH,NJ,VT,NM,FL,NV,WA,NY,SC,SD,WI,OH,GA,OK,CA,WV,WY,OR,KS,CO,KY,CT,PA,LA,TN,DC
2013,200632,156633,41194,11849,802688,621445,13092,198220,10094,32690,233871,10294,318955,38903,33274,28122,150156,5656,24342,26587,22014,17724,25024,13762,126627,199026,43398,108150,56416,76461,24702,54821,244654,25293,230934,2821,74469,22582,21670,20483,72574,23479,7153,99802,158348,10093,24988,118115,436339,15129,116948,619371,
2014,203737,158814,40391,12013,806804,622271,13007,198934,10068,32699,236307,10233,318727,38965,33307,28076,151965,5651,24256,27031,21934,17662,27066,13797,126609,201453,43291,107624,56328,76480,24660,54634,246402,25281,235285,2837,74261,22535,21365,20697,73059,23203,7135,100486,159466,10131,25151,117918,438052,15000,119584,633736,
2015,207302,160863,39474,12060,810935,622454,12936,199682,10025,32751,238682,10092,317850,39106,33330,27911,153692,5644,24130,27168,21835,17604,29619,13825,126405,202987,43135,107226,56150,76297,24629,54482,247408,25187,240076,2833,74012,22467,21156,20986,73437,22866,7152,101119,160806,10185,25317,117470,439660,14855,122445,647484,
2016,211224,162456,38519,12107,813589,621000,12891,200536,10035,32829,241328,10038,316030,39123,33354,27719,155344,5600,24013,27349,21716,17599,31643,13842,126319,203292,43051,107095,55894,75993,24627,54412,247681,25106,245606,2818,73621,22359,20988,21111,73897,22537,7175,102217,161777,10150,25591,117078,440604,14695,125616,659009,
2017,215551,164094,37585,12152,818249,619796,12864,201454,9996,32915,244101,9930,314867,38942,33481,27496,156332,5453,23968,27516,21601,17605,32916,13832,126190,204281,43073,107088,55485,75845,24472,54219,248279,25083,251664,2837,73427,22190,20809,21140,74644,22130,7117,102366,163227,10109,25817,116674,442216,14631,128874,672391,
2018,219540,165281,36439,12131,822280,614700,12804,203102,10025,33111,247731,9868,311273,38817,33649,27974,157816,5415,23875,27789,21573,17667,34061,13799,126242,207829,43125,106293,55427,75956,24566,54467,249325,25009,258641,2814,73274,22107,20656,20967,75493,21711,7100,103820,164345,10069,26097,116538,444014,14494,132663,684498,
2019,224384,165979,35428,12039,824772,609032,12739,204316,10057,33256,251498,9814,308174,38700,33730,28565,159008,5377,23784,27897,21464,17760,35208,13745,126060,209468,43104,105862,55275,76027,24764,54773,249697,25011,265872,2791,73112,22000,20494,20727,76360,21281,7049,104831,164861,10003,26318,116566,445565,14313,136666,692683,
2020,230249,166657,34501,11930,826655,602274,12644,206074,10128,33433,255284,9775,304709,38503,33899,28511,160390,5305,23712,27912,21425,17870,36044,13671,126139,211931,43173,105730,55191,76518,25094,55244,250649,24981,273887,2767,72892,21907,20346,20352,77524,20890,6942,106087,165447,10013,26486,116657,447628,14165,140604,701974,
2021,234045,164568,34704,9900,856858,592211,12978,210486,10425,33552,259390,9616,302787,38571,34048,27924,163593,5433,23650,28194,20489,18357,38460,14164,129735,202944,43105,109354,57593,75992,24906,57957,255151,24808,276569,2479,74107,21933,20824,20591,80404,21581,6891,107024,168333,9944,26758,116503,454605,13875,144748,683154,
2022,240668,164765,33988,9700,858898,584548,12897,212691,10612,33766,262960,9569,298018,38414,34259,27467,165524,5355,23655,28103,20342,18538,39076,14212,129998,204374,43356,109739,57832,76613,25014,58249,256143,24713,282987,2455,74138,21818,20706,20411,81705,21237,6870,107674,167989,9938,26886,null,457051,13665,149096,670587,
2023,247799,164632,33509,9532,861664,577193,12817,214731,10866,33868,266183,9509,293109,38348,34388,26837,167340,5271,23637,27981,20195,18676,39368,14231,130073,207685,43529,110238,57968,77382,25259,58364,256605,24637,288559,2410,74039,21699,20575,20260,83079,20948,6835,108122,167277,9921,27017,null,459312,13506,153587,672079,
